Số thứ tự,Tên đơn vị hành chính,Tỉnh/Thành phố,Chú thích,Dân số (người),Diện tích (km²),Mật độ dân số (người/km²),Số ĐVHC cấp xã
350,Lý Sơn,Quảng Ngãi,huyện đảo,22.174[11],104,2.132,0
351,M'Drắk,Đắk Lắk,,72.153,"1.336,3",54.0,13
352,Mai Châu,Hòa Bình,,55.640,5698,98.0,16
353,Mai Sơn,Sơn La,,163.881,"1.426,7",115.0,22
354,Mang Thít,Vĩnh Long,,96.172,1625,592.0,12
355,Mang Yang,Gia Lai,,68.273,"1.127,2",61.0,12
356,Mê Linh,Hà Nội,,240.555,1425,1.688,17
357,Mèo Vạc,Hà Giang,,86.071,5742,150.0,18
358,Minh Hóa,Quảng Bình,,50.670,"1.393,8",36.0,13
359,Minh Long,Quảng Ngãi,,18.722,2172,86.0,5
360,Mỏ Cày Bắc,Bến Tre,,113.210,1652,685.0,13
361,Mỏ Cày Nam,Bến Tre,,143.577,2308,622.0,16
362,Mộ Đức,Quảng Ngãi,,112.592,2140,526.0,12
363,Mộc Châu,Sơn La,thị xã,114.460,"1.071,7",107.0,15
364,Mộc Hóa,Long An,,28.165,3000,94.0,7
365,Móng Cái,Quảng Ninh,thành phố,108.553,5196,209.0,16
366,Mù Cang Chải,Yên Bái,,63.961,"1.197,9",53.0,14
367,Mường Ảng,Điện Biên,,48.416,4435,109.0,10
368,Mường Chà,Điện Biên,,48.005,"1.199,4",40.0,12
369,Mường Khương,Lào Cai,,63.682,5561,115.0,16
370,Mường La,Sơn La,,99.534,"1.425,4",70.0,16
371,Mường Lát,Thanh Hóa,,39.948,8124,49.0,8
372,Mường Lay,Điện Biên,thị xã,11.162,1126,99.0,3
373,Mường Nhé,Điện Biên,,45.727,"1.573,7",29.0,11
374,Mường Tè,Lai Châu,,46.143,"2.679,3",17.0,14
375,Mỹ Đức,Hà Nội,,199.901,2263,883.0,20
376,Mỹ Hào,Hưng Yên,thị xã,158.673[26],794,1.998,13
377,Mỹ Tho,Tiền Giang,thành phố,228.109,823,2.772,14
378,Mỹ Tú,Sóc Trăng,,90.524,3682,246.0,10
379,Mỹ Xuyên,Sóc Trăng,,150.067,3737,402.0,11
380,Na Hang,Tuyên Quang,,43.248,8635,50.0,12
381,Na Rì,Bắc Kạn,,38.263,8530,45.0,17
382,Năm Căn,Cà Mau,,56.813,4828,118.0,8
383,Nam Đàn,Nghệ An,,164.634,2925,563.0,17
384,Nam Định,Nam Định,thành phố,364.181,1209,3.012,21
385,Nam Giang,Quảng Nam,,26.123,"1.846,6",14.0,12
386,Nậm Nhùn,Lai Châu,,27.261,"1.388,0",20.0,11
387,Nậm Pồ,Điện Biên,,54.908,"1.498,1",37.0,15
388,Nam Sách,Hải Dương,,126.325,1110,1.138,15
389,Nam Trà My,Quảng Nam,,31.306,8264,38.0,10
390,Nam Trực,Nam Định,,183.241,1639,1.118,18
391,Nam Từ Liêm,Hà Nội,quận,269.076[3],322,8.364,10
392,Ngã Bảy,Hậu Giang,thành phố,101.192[27],781,1.296,6
393,Ngã Năm,Sóc Trăng,thị xã,74.115,2422,306.0,8
394,Nga Sơn,Thanh Hóa,,141.114,1578,894.0,23
395,Ngân Sơn,Bắc Kạn,,29.269,6459,45.0,10
396,Nghi Lộc,Nghệ An,,218.005,3459,630.0,23
397,Nghi Sơn,Thanh Hóa,thị xã,307.304[28],4556,675.0,30
398,Nghi Xuân,Hà Tĩnh,,102.160,2225,459.0,17
399,Nghĩa Đàn,Nghệ An,,140.515,6178,227.0,20
400,Nghĩa Hành,Quảng Ngãi,,82.250,2344,351.0,12
401,Nghĩa Hưng,Nam Định,,175.786,2589,679.0,20
402,Nghĩa Lộ,Yên Bái,thị xã,68.206[29],1078,633.0,14
403,Ngô Quyền,Hải Phòng,quận,165.309,113,14.629,8
404,Ngọc Hiển,Cà Mau,,66.874,7086,94.0,7
405,Ngọc Hồi,Kon Tum,,58.913,8438,70.0,8
406,Ngọc Lặc,Thanh Hóa,,136.611,4910,278.0,21
407,Ngũ Hành Sơn,Đà Nẵng,quận,90.352,402,2.248,4
408,Nguyên Bình,Cao Bằng,,39.654,8380,47.0,17
409,Nhà Bè,Thành phố Hồ Chí Minh,,206.837,1004,2.06,7
410,Nha Trang,Khánh Hòa,thành phố,422.601,2543,1.66,22
411,Nho Quan,Ninh Bình,,149.830,4506,333.0,27
412,Nhơn Trạch,Đồng Nai,,260.592,4108,634.0,12
413,Như Thanh,Thanh Hóa,,94.906,5881,161.0,14
414,Như Xuân,Thanh Hóa,,66.240,7217,92.0,16
415,Ninh Giang,Hải Dương,,146.493,1368,1.071,16
416,Ninh Hải,Ninh Thuận,,92.231,2536,364.0,9
417,Ninh Hòa,Khánh Hòa,thị xã,230.049,"1.108,0",208.0,26
418,Ninh Kiều,Cần Thơ,quận,280.494,292,9.606,8
419,Ninh Phước,Ninh Thuận,,128.028,3420,374.0,9
420,Ninh Sơn,Ninh Thuận,,71.888,7718,93.0,8
421,Nông Cống,Thanh Hóa,,182.801,2851,641.0,29
422,Núi Thành,Quảng Nam,,147.721,5558,266.0,17
423,Ô Môn,Cần Thơ,quận,128.677,1319,976.0,7
424,Pác Nặm,Bắc Kạn,,33.439,4754,70.0,10
425,Phan Rang – Tháp Chàm,Ninh Thuận,thành phố,167.394,792,2.114,13
426,Phan Thiết,Bình Thuận,thành phố,226.736,2109,1.075,15
427,Phổ Yên,Thái Nguyên,thành phố,196.378,2589,759.0,18
428,Phong Điền,Cần Thơ,,98.424,1263,779.0,7
429,Phong Điền,Huế,thị xã,87.781,9482,93.0,12
430,Phong Thổ,Lai Châu,,79.645,"1.029,2",77.0,17
431,Phú Bình,Thái Nguyên,,156.804,2434,644.0,20
432,Phù Cát,Bình Định,,183.440,6807,269.0,18
433,Phù Cừ,Hưng Yên,,79.954,946,845.0,13
434,Phú Giáo,Bình Dương,,89.741,5444,165.0,11
435,Phú Hòa,Phú Yên,,102.074,2588,394.0,9
436,Phú Lộc,Huế,,154.146,"1.368,2",218.0,27
437,Phú Lương,Thái Nguyên,,102.292,3507,292.0,14
438,Phủ Lý,Hà Nam,thành phố,158.212,876,1.806,14
439,Phú Mỹ,Bà Rịa – Vũng Tàu,thị xã,179.786,3338,539.0,10
440,Phù Mỹ,Bình Định,,161.563,5559,291.0,19
441,Phú Nhuận,Thành phố Hồ Chí Minh,quận,163.961,49,33.461,11
442,Phú Ninh,Quảng Nam,,77.204,2557,302.0,10
443,Phù Ninh,Phú Thọ,,111.011,1574,705.0,17
444,Phú Quốc,Kiên Giang,thành phố,179.480[30],5893,305.0,9
445,Phú Quý,Bình Thuận,huyện đảo,26.918,179,1.504,3
446,Phú Riềng,Bình Phước,,91.450,6747,136.0,10
447,Phú Tân,An Giang,,188.951,3131,603.0,18
448,Phú Tân,Cà Mau,,97.703,4619,218.0,9
449,Phú Thiện,Gia Lai,,78.627,5052,156.0,10
450,Phú Thọ,Phú Thọ,thị xã,70.653,652,1.084,9
451,Phú Vang,Huế,,137.962[22],2354,646.0,14
452,Phú Xuân,Huế,quận,203.142,1270,1.599,13
453,Phú Xuyên,Hà Nội,,213.984,1714,1.248,23
454,Phù Yên,Sơn La,,114.974,"1.234,2",93.0,25
455,Phúc Thọ,Hà Nội,,184.024,1186,1.552,18
456,Phúc Yên,Vĩnh Phúc,thành phố,106.002,1201,883.0,9
457,Phụng Hiệp,Hậu Giang,,188.017,4837,389.0,15
458,Phước Long,Bình Phước,thị xã,53.992,1194,452.0,7
459,Phước Long,Bạc Liêu,,124.268,4162,299.0,8
460,Phước Sơn,Quảng Nam,,26.337,"1.153,3",23.0,12
461,Pleiku,Gia Lai,thành phố,254.802,2608,977.0,21
462,Quận 1,Thành phố Hồ Chí Minh,quận,142.625,77,18.523,10
463,Quận 3,Thành phố Hồ Chí Minh,quận,190.375,49,38.852,10
464,Quận 4,Thành phố Hồ Chí Minh,quận,175.329,42,41.745,10
465,Quận 5,Thành phố Hồ Chí Minh,quận,159.073,43,36.994,10
466,Quận 6,Thành phố Hồ Chí Minh,quận,233.561,72,32.439,10
467,Quận 7,Thành phố Hồ Chí Minh,quận,360.155,357,10.088,10
468,Quận 8,Thành phố Hồ Chí Minh,quận,424.667,192,22.118,10
469,Quận 10,Thành phố Hồ Chí Minh,quận,234.819,57,41.196,11
470,Quận 11,Thành phố Hồ Chí Minh,quận,209.867,51,41.15,10
471,Quận 12,Thành phố Hồ Chí Minh,quận,620.146,528,11.745,11
472,Quản Bạ,Hà Giang,,53.476,5422,99.0,13
473,Quan Hóa,Thanh Hóa,,48.856,9907,49.0,15
474,Quan Sơn,Thanh Hóa,,40.526,9266,44.0,12
475,Quang Bình,Hà Giang,,61.711,7918,78.0,15
476,Quảng Điền,Huế,,77.178,1631,473.0,11
477,Quảng Hòa,Cao Bằng,,66.620[31],6690,100.0,19
478,Quảng Ngãi,Quảng Ngãi,thành phố,261.417,1569,1.666,22
479,Quảng Ninh,Quảng Bình,,90.335,"1.194,2",76.0,14
480,Quảng Trạch,Quảng Bình,,110.380,4479,246.0,16
481,Quảng Trị,Quảng Trị,thị xã,23.356,729,320.0,5
482,Quảng Xương,Thanh Hóa,,199.943,1742,1.148,26
483,Quảng Yên,Quảng Ninh,thị xã,145.920,3018,483.0,19
484,Quế Phong,Nghệ An,,71.940,"1.890,9",38.0,13
485,Quế Sơn,Quảng Nam,,107.499,7289,371.0,18
486,Quế Võ,Bắc Ninh,thị xã,213.753,1551,1.378,20
487,Quốc Oai,Hà Nội,,194.412,1511,1.287,17
488,Quỳ Châu,Nghệ An,,57.813,"1.057,7",55.0,12
489,Quỳ Hợp,Nghệ An,,134.154,9427,142.0,21
490,Quy Nhơn,Bình Định,thành phố,290.053,2861,1.014,17
491,Quỳnh Lưu,Nghệ An,,276.259,4362,633.0,25
492,Quỳnh Nhai,Sơn La,,64.045,"1.056,0",61.0,11
493,Quỳnh Phụ,Thái Bình,,240.940,2100,1.147,35
494,Rạch Giá,Kiên Giang,thành phố,227.527,1036,2.196,12
495,Sa Đéc,Đồng Tháp,thành phố,106.198,591,1.797,9
496,Sa Pa,Lào Cai,thị xã,81.857[32],6814,120.0,16
497,Sa Thầy,Kon Tum,,49.914,"1.431,7",35.0,11
498,Sầm Sơn,Thanh Hóa,thành phố,109.208,449,2.432,11
499,Si Ma Cai,Lào Cai,,37.490,2349,160.0,10
500,Sìn Hồ,Lai Châu,,83.643,"1.527,0",55.0,22
501,Sóc Sơn,Hà Nội,,343.432,3048,1.127,26
502,Sóc Trăng,Sóc Trăng,thành phố,137.305,760,1.807,9
503,Sơn Động,Bắc Giang,,76.106,8602,88.0,17
504,Sơn Dương,Tuyên Quang,,183.600,7878,233.0,30
505,Sơn Hà,Quảng Ngãi,,78.377,7521,104.0,14
506,Sơn Hòa,Phú Yên,,59.497,9378,63.0,14
507,Sơn La,Sơn La,thành phố,106.052,3235,328.0,12
508,Sơn Tây,Hà Nội,thị xã,145.856,1174,1.242,13
509,Sơn Tây,Quảng Ngãi,,21.174,3815,56.0,9
510,Sơn Tịnh,Quảng Ngãi,,95.843,2431,394.0,11
511,Sơn Trà,Đà Nẵng,quận,157.415,634,2.483,6
512,Sông Cầu,Phú Yên,thị xã,99.432,4928,202.0,13
513,Sông Công,Thái Nguyên,thành phố,69.382,967,717.0,10
514,Sông Hinh,Phú Yên,,51.816,8932,58.0,11
515,Sông Lô,Vĩnh Phúc,,98.738,1499,659.0,14
516,Sông Mã,Sơn La,,154.224,"1.639,9",94.0,19
517,Sốp Cộp,Sơn La,,50.215,"1.473,4",34.0,8
518,Tam Bình,Vĩnh Long,,151.520,2907,521.0,16
519,Tam Đảo,Vĩnh Phúc,,83.931,2347,358.0,9
520,Tam Điệp,Ninh Bình,thành phố,62.866,1049,599.0,9
521,Tam Dương,Vĩnh Phúc,,114.391,1083,1.056,12
522,Tam Đường,Lai Châu,,52.470[24],6629,79.0,13
523,Tam Kỳ,Quảng Nam,thành phố,122.374,940,1.302,12
524,Tam Nông,Đồng Tháp,,99.995,4750,211.0,12
525,Tam Nông,Phú Thọ,,87.931,1556,565.0,12
526,Tân An,Long An,thành phố,145.120,817,1.776,13
527,Tân Biên,Tây Ninh,,102.190,8610,119.0,10
528,Tân Bình,Thành phố Hồ Chí Minh,quận,474.792,224,21.196,15
529,Tân Châu,An Giang,thị xã,141.211,1764,801.0,14
530,Tân Châu,Tây Ninh,,134.743,"1.103,2",122.0,12
531,Tân Hiệp,Kiên Giang,,125.459,4229,297.0,11
532,Tân Hồng,Đồng Tháp,,75.456,3110,243.0,9
533,Tân Hưng,Long An,,47.651,5019,95.0,12
534,Tân Kỳ,Nghệ An,,147.257,7292,202.0,20
535,Tân Lạc,Hòa Bình,,86.889,5320,163.0,16
536,Tân Phú,Thành phố Hồ Chí Minh,quận,485.348,161,30.146,11
537,Tân Phú,Đồng Nai,,153.080,7769,197.0,16
538,Tân Phú Đông,Tiền Giang,,42.078,2231,189.0,6
539,Tân Phước,Tiền Giang,,65.331,3301,198.0,12
540,Tân Sơn,Phú Thọ,,85.731,6886,125.0,17
541,Tân Thạnh,Long An,,77.537,4229,183.0,13
542,Tân Trụ,Long An,,66.502,1064,625.0,10
543,Tân Uyên,Bình Dương,thành phố,370.512,1918,1.932,12
544,Tân Uyên,Lai Châu,,58.104,8973,65.0,10
545,Tân Yên,Bắc Giang,,177.265,2083,851.0,19
546,Tánh Linh,Bình Thuận,,98.516,"1.198,6",82.0,13
547,Tây Giang,Quảng Nam,,20.005,9137,22.0,10
548,Tây Hồ,Hà Nội,quận,160.495,244,6.578,8
549,Tây Hòa,Phú Yên,,110.983,6237,178.0,11
550,Tây Ninh,Tây Ninh,thành phố,133.805,1400,956.0,10
551,Tây Sơn,Bình Định,,115.968,6922,168.0,15
552,Thạch An,Cao Bằng,,29.820,6910,43.0,14
553,Thạch Hà,Hà Tĩnh,,219.391,4713,1.07,22
554,Thạch Thành,Thanh Hóa,,144.343,5592,258.0,24
555,Thạch Thất,Hà Nội,,216.554,1874,1.156,20
556,Thái Bình,Thái Bình,thành phố,206.037,681,3.026,19
557,Thái Hòa,Nghệ An,thị xã,66.127,1348,491.0,9
558,Thái Nguyên,Thái Nguyên,thành phố,340.403,2229,1.527,32
559,Thái Thụy,Thái Bình,,255.222,2684,951.0,36
560,Than Uyên,Lai Châu,,67.550,7925,85.0,12
561,Thăng Bình,Quảng Nam,,173.726,4124,421.0,20
562,Thanh Ba,Phú Thọ,,115.470,1947,593.0,19
563,Thanh Bình,Đồng Tháp,,134.903,3419,395.0,13
564,Thanh Chương,Nghệ An,,240.808,"1.130,4",213.0,29
565,Thanh Hà,Hải Dương,,136.858[13],1407,973.0,16
566,Thanh Hóa,Thanh Hóa,thành phố,436.833,2283,3.403,47
567,Thạnh Hóa,Long An,,56.074,4679,120.0,11
568,Thanh Khê,Đà Nẵng,quận,236.754,105,22.548,6
569,Thanh Liêm,Hà Nam,,118.569,1649,719.0,16
570,Thanh Miện,Hải Dương,,137.537,1235,1.114,17
571,Thanh Oai,Hà Nội,,211.029,1239,1.703,20
572,Thạnh Phú,Bến Tre,,127.841,4265,300.0,18
573,Thanh Sơn,Phú Thọ,,133.132,6211,214.0,23
574,Thanh Thủy,Phú Thọ,,84.622,1257,673.0,11
575,Thanh Trì,Hà Nội,,275.745,635,4.342,16
576,Thạnh Trị,Sóc Trăng,,73.596,2875,256.0,10
577,Thanh Xuân,Hà Nội,quận,293.524,91,32.255,9
578,Tháp Mười,Đồng Tháp,,131.791,5300,249.0,13
579,Thiệu Hóa,Thanh Hóa,,160.732,1599,1.005,24
580,Thọ Xuân,Thanh Hóa,,195.998,2923,671.0,30
581,Thoại Sơn,An Giang,,163.427,4708,347.0,17
582,Thới Bình,Cà Mau,,135.892,6364,214.0,12
583,Thới Lai,Cần Thơ,,109.684,2669,411.0,13
584,Thống Nhất,Đồng Nai,,163.905,2472,663.0,10
585,Thốt Nốt,Cần Thơ,quận,155.360,1220,1.273,9
586,Thủ Dầu Một,Bình Dương,thành phố,321.607,1189,2.705,14
587,Thủ Đức,Thành phố Hồ Chí Minh,thành phố,1.013.795[33],2116,4.791,34
588,Thủ Thừa,Long An,,98.333,2991,329.0,12
589,Thuận An,Bình Dương,thành phố,508.433[7],837,6.074,10
590,Thuận Bắc,Ninh Thuận,,43.322,3183,136.0,6
591,Thuận Châu,Sơn La,,172.763,"1.533,4",113.0,28
592,Thuận Hóa,Huế,quận,297.507,1394,2.134,19
593,Thuận Nam,Ninh Thuận,,57.006,5633,101.0,8
594,Thuận Thành,Bắc Ninh,thị xã,199.577,1178,1.694,18
595,Thường Tín,Hà Nội,,254.702,1304,1.953,27
596,Thường Xuân,Thanh Hóa,,89.131,"1.107,2",81.0,16
597,Thủy Nguyên,Hải Phòng,thành phố,397.570,2691,1.477,21
598,Tiên Du,Bắc Ninh,,195.993,956,2.049,14
599,Tiền Hải,Thái Bình,,215.535,2313,932.0,28
600,Tiên Lãng,Hải Phòng,,154.789,1934,800.0,19
601,Tiên Lữ,Hưng Yên,,93.118,786,1.185,11
602,Tiên Phước,Quảng Nam,,66.239,4546,146.0,14
603,Tiên Yên,Quảng Ninh,,50.830,6521,78.0,11
604,Tiểu Cần,Trà Vinh,,107.846,2272,475.0,11
605,Tịnh Biên,An Giang,thị xã,143.098,3546,306.0,14
606,Trà Bồng,Quảng Ngãi,,53.379[11],7603,70.0,16
607,Trà Cú,Trà Vinh,,146.329,3175,461.0,17
608,Trà Ôn,Vĩnh Long,,129.589,2672,485.0,13
609,Trà Vinh,Trà Vinh,thành phố,112.584,679,1.658,8
610,Trạm Tấu,Yên Bái,,33.962,7434,46.0,11
611,Trần Đề,Sóc Trăng,,112.463,3780,298.0,11
612,Trần Văn Thời,Cà Mau,,197.679,6975,283.0,13
613,Trấn Yên,Yên Bái,,84.675,6291,135.0,18
614,Trảng Bàng,Tây Ninh,thị xã,161.831[19],3401,476.0,10
615,Trảng Bom,Đồng Nai,,349.279,3237,1.079,17
616,Tràng Định,Lạng Sơn,,59.827,"1.016,7",59.0,20
617,Tri Tôn,An Giang,,117.431,6002,196.0,15
618,Triệu Phong,Quảng Trị,,88.852,3538,251.0,16
619,Triệu Sơn,Thanh Hóa,,202.386,2901,698.0,32
620,Trực Ninh,Nam Định,,172.557,1440,1.198,21
621,Trùng Khánh,Cao Bằng,,70.424[31],6880,102.0,21
622,Trường Sa,Khánh Hòa,huyện đảo,93,4963,0.0,3
623,Tứ Kỳ,Hải Dương,,152.541[13],1653,923.0,20
624,Tu Mơ Rông,Kon Tum,,27.411,8593,32.0,11
625,Tư Nghĩa,Quảng Ngãi,,128.661,2063,624.0,13
626,Từ Sơn,Bắc Ninh,thành phố,192.554,611,3.152,12
627,Tủa Chùa,Điện Biên,,57.460,6853,84.0,12
628,Tuần Giáo,Điện Biên,,87.883,"1.137,8",77.0,19
629,Tương Dương,Nghệ An,,77.830,"2.811,3",28.0,17
630,Tuy An,Phú Yên,,123.167,4076,302.0,15
631,Tuy Đức,Đắk Nông,,61.312,"1.119,3",55.0,6
632,Tuy Hòa,Phú Yên,thành phố,155.921,1106,1.41,12
633,Tuy Phong,Bình Thuận,,144.800,7737,187.0,11
634,Tuy Phước,Bình Định,,180.191,2199,819.0,13
635,Tuyên Hóa,Quảng Bình,,77.754,"1.128,7",69.0,19
636,Tuyên Quang,Tuyên Quang,thành phố,191.118[34],1844,1.036,15
637,U Minh Thượng,Kiên Giang,,63.415,4327,147.0,6
638,U Minh,Cà Mau,,100.876,7718,131.0,8
639,Ứng Hòa,Hà Nội,,210.869,1882,1.12,20
640,Uông Bí,Quảng Ninh,thành phố,120.982,2555,474.0,10
641,Văn Bàn,Lào Cai,,89.167,"1.423,5",63.0,22
642,Vân Canh,Bình Định,,27.875,8042,35.0,7
643,Văn Chấn,Yên Bái,,116.804[29],"1.129,9",103.0,24
644,Vân Đồn,Quảng Ninh,huyện đảo,46.616,5818,80.0,12
645,Văn Giang,Hưng Yên,,120.799,718,1.682,11
646,Vân Hồ,Sơn La,,62.188,9829,63.0,14
647,Văn Lâm,Hưng Yên,,133.027,752,1.769,11
648,Văn Lãng,Lạng Sơn,,49.696,5674,88.0,17
649,Vạn Ninh,Khánh Hòa,,130.231,5618,232.0,13
650,Văn Quan,Lạng Sơn,,54.202,5476,99.0,15
652,Văn Yên,Yên Bái,,129.679,"1.390,3",93.0,25
653,Vị Thanh,Hậu Giang,thành phố,73.322,1191,616.0,9
653,Vị Thủy,Hậu Giang,,90.126,2302,392.0,10
654,Vị Xuyên,Hà Giang,,110.465,"1.478,4",75.0,24
655,Việt Trì,Phú Thọ,thành phố,214.777,1115,1.926,20
656,Việt Yên,Bắc Giang,thị xã,229.162,1710,1.34,17
657,Vĩnh Bảo,Hải Phòng,,182.835,1833,997.0,20
658,Vĩnh Châu,Sóc Trăng,thị xã,164.680,4687,351.0,10
659,Vĩnh Cửu,Đồng Nai,,164.003,"1.095,7",150.0,10
660,Vĩnh Hưng,Long An,,50.074,3781,132.0,10
661,Vĩnh Linh,Quảng Trị,,87.451,6172,142.0,18
662,Vĩnh Lộc,Thanh Hóa,,86.362,1577,548.0,13
663,Vĩnh Lợi,Bạc Liêu,,101.025,2510,402.0,8
664,Vĩnh Long,Vĩnh Long,thành phố,137.870,478,2.884,10
665,Vĩnh Thạnh,Cần Thơ,,98.399,3058,322.0,11
666,Vĩnh Thạnh,Bình Định,,30.587,7169,43.0,9
667,Vĩnh Thuận,Kiên Giang,,81.875,3944,208.0,8
668,Vĩnh Tường,Vĩnh Phúc,,205.345,1440,1.426,20
669,Vĩnh Yên,Vĩnh Phúc,thành phố,124.455,504,2.469,9
670,Vinh,Nghệ An,thành phố,394.782,1328,5.229,33
671,Võ Nhai,Thái Nguyên,,68.080,8394,81.0,15
672,Vụ Bản,Nam Định,,130.862,1528,856.0,14
673,Vũ Quang,Hà Tĩnh,,28.544,6377,45.0,10
674,Vũ Thư,Thái Bình,,227.921,1969,1.158,30
675,Vũng Liêm,Vĩnh Long,,149.371,3096,482.0,20
676,Vũng Tàu,Bà Rịa – Vũng Tàu,thành phố,357.124,1504,2.374,17
677,Xín Mần,Hà Giang,,67.999,5870,116.0,18
678,Xuân Lộc,Đồng Nai,,226.648,7272,312.0,15
679,Xuân Trường,Nam Định,,149.480,1161,1.288,14
680,Xuyên Mộc,Bà Rịa – Vũng Tàu,,140.723,6392,220.0,13
681,Ý Yên,Nam Định,,229.006,2611,877.0,23
682,Yên Bái,Yên Bái,thành phố,100.631,1068,942.0,14
683,Yên Bình,Yên Bái,,112.046,7724,145.0,23
684,Yên Châu,Sơn La,,79.295,8578,92.0,14
685,Yên Định,Thanh Hóa,,165.830,2288,725.0,25
686,Yên Khánh,Ninh Bình,,147.069,1426,1.031,19
687,Yên Lạc,Vĩnh Phúc,,156.456,1077,1.453,16
688,Yên Lập,Phú Thọ,,92.858,4382,212.0,17
689,Yên Minh,Hà Giang,,97.553,7766,126.0,18
690,Yên Mô,Ninh Bình,,118.469,1461,811.0,17
691,Yên Mỹ,Hưng Yên,,159.146,924,1.723,12
692,Yên Phong,Bắc Ninh,,211.048,969,2.177,14
693,Yên Sơn,Tuyên Quang,,145.390[34],"1.067,7",136.0,28
694,Yên Thành,Nghệ An,,301.635,5479,551.0,32
695,Yên Thế,Bắc Giang,,101.135,3064,330.0,17
696,Yên Thủy,Hòa Bình,,60.143,2889,208.0,11
